,Train,Val
0,0.5499992675564352,0.5156275
1,0.49493414554508514,0.5058405
2,0.49694572647636803,0.4990257
3,0.47499711378589166,0.4929804
4,0.47089140375679406,0.48914012
5,0.4611487589114476,0.48848373
6,0.4583732782953717,0.4847219
7,0.4510556633238732,0.48119536
8,0.44200564628763833,0.47818914
9,0.43838260019111364,0.4765994
10,0.43228828812435754,0.4754543
11,0.43092434452938594,0.47210038
12,0.42369852186678497,0.47083455
13,0.42118829776689265,0.47011322
14,0.41613587066636265,0.46590582
15,0.4133822242446948,0.46792793
16,0.39891522519595196,0.46681637
17,0.39645274725384033,0.4654345
18,0.39578898655636857,0.46550208
19,0.38552075565617916,0.46012986
20,0.39159650636156457,0.45922557
21,0.37875828832093683,0.45826674
22,0.3709673466757255,0.4612239
23,0.3691573317762995,0.4613091
24,0.36726412137153286,0.45910728
25,0.34986414931640974,0.4603913
26,0.3618033458761167,0.46111053
27,0.34883334934291116,0.4584066
28,0.33925967148606295,0.45601633
29,0.3322912727828086,0.45827824
30,0.33168102781930664,0.4556014
31,0.31958162035314924,0.4540373
32,0.3127296364252759,0.45572022
33,0.3121553691700416,0.45336094
34,0.3047902890716184,0.46037185
35,0.29724808024145316,0.45790568
36,0.29867799700945824,0.45637852
37,0.29126801246144035,0.46139365
38,0.2905544287016765,0.45408782
39,0.28107936976658776,0.45626852
40,0.2749460505949509,0.45564404
41,0.26215191070930915,0.4530041
42,0.26291918325827723,0.4600138
43,0.2561424737914409,0.4575816
44,0.2536569576347917,0.45649466
45,0.25022704877768487,0.4595145
46,0.2390802488498106,0.45938823
47,0.2406143398091134,0.46597102
48,0.23335836800958104,0.45806167
49,0.2279592493998231,0.4604322
50,0.21700878458147493,0.45562148
51,0.21706880125439135,0.4589424
52,0.20120098387982766,0.46259663
53,0.19604860268774926,0.4616185
54,0.1937768662030505,0.45904976
55,0.20684891696415095,0.4612402
56,0.2006078198320943,0.4587674
57,0.20308873349766554,0.45983702
58,0.1897129902014527,0.46019617
59,0.19012672516644757,0.4552231
60,0.1927894924928885,0.46247026
61,0.1881315066900803,0.46205288
62,0.18789106969983016,0.46048096
63,0.1866829039289896,0.46324348
64,0.18305540567182518,0.45819178
65,0.19240544362542744,0.45848018
66,0.18836229436929708,0.4577405
67,0.19301111413736016,0.45861733
68,0.1869360674409083,0.45810804
69,0.18766662179477964,0.4574964
70,0.1900104027141637,0.4579801
71,0.18263217136368934,0.45883402
72,0.18866102864022652,0.46061173
73,0.18956893817515064,0.46144292
74,0.18659170724356966,0.46203578
