,Train,Val
0,0.8451228202314067,0.9115286
1,0.7716045673458465,0.89733577
2,0.7586788273664725,0.89123905
3,0.7547795571208168,0.8789865
4,0.747684799019137,0.87694675
5,0.7419990871537724,0.87240136
6,0.7374967147079947,0.87068105
7,0.727674916071347,0.8701439
8,0.7235674085082389,0.8648815
9,0.7247799879993471,0.8645477
10,0.720497568462396,0.8625003
11,0.716656986051285,0.85976416
12,0.7159947301083794,0.86539644
13,0.7139309676645169,0.8588901
14,0.714504182128543,0.85965925
15,0.7032787764106045,0.85735756
16,0.7042168828597022,0.8538915
17,0.6944641855943354,0.85322464
18,0.7022622246163857,0.85216737
19,0.7038028080053155,0.85030425
20,0.69238391569034,0.8539145
21,0.6949563142863248,0.8482327
22,0.6857384127185105,0.8502104
23,0.6838935820861327,0.84781116
24,0.6819928127048046,0.8474778
25,0.6800200378861179,0.8477231
26,0.6729558494010328,0.8469841
27,0.6765771593966841,0.8450573
28,0.6665086829023401,0.8427473
29,0.6688653801492979,0.84277993
30,0.6653710910564418,0.84477866
31,0.6552601421753678,0.84293956
32,0.659260637627334,0.8458869
33,0.6628669280931879,0.84711224
34,0.6547675461880075,0.8454719
35,0.6538534688176154,0.84582794
36,0.6585675804167775,0.85071486
37,0.6510558631507567,0.8468009
38,0.6447294131656964,0.8473331
39,0.6397105967376397,0.84687936
40,0.6352546801435931,0.84350866
41,0.6392431225107487,0.84660137
42,0.6353547647910663,0.8450489
43,0.6285300131661263,0.84487224
44,0.6330610555301096,0.84313416
45,0.6341483027625655,0.84488124
46,0.6263519065672655,0.8457298
47,0.6244973587804856,0.8431262
48,0.6399178499899731,0.84336466
49,0.638081233743552,0.8437782
50,0.6335786072844679,0.8435526
51,0.6339856571976321,0.8460667
52,0.6321991171335805,0.84511256
53,0.6334170395631884,0.8458584
54,0.6303410089991156,0.8446947
55,0.6345118622181277,0.8469531
56,0.6384177131444342,0.8446772
57,0.6326568685734726,0.84491634
58,0.639677977780529,0.8441993
59,0.6404780870348173,0.8432079
60,0.6381739898780505,0.84451663
61,0.6343881429418691,0.84508413
62,0.6310426424689622,0.8458972
63,0.629536632632335,0.84424365
64,0.6382589039664679,0.8450997
65,0.6296596104654842,0.8435912
66,0.6332471913359902,0.8453811
67,0.6269986078836686,0.8453471
68,0.633725844922624,0.8448932
69,0.6344516756083969,0.8434167
70,0.636014848401079,0.84502053
71,0.634724017679271,0.844982
72,0.6349252036579573,0.8469165
73,0.6276650924776774,0.8434729
74,0.6282982770747627,0.84427273
